Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"F13A1","Coagulation Factor XIII A Chain","Protein Coding","45","GC06M006144","31.38037109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13A1"
"PKHD1","PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin","Protein Coding","37","GC06M052406","31.2115077972412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKHD1"
"IL10","Interleukin 10","Protein Coding","46","GC01M206767","30.6769371032715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"SERPINC1","Serpin Family C Member 1","Protein Coding","47","GC01M174312","30.2047271728516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","49","GC07P101127","27.7237377166748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"IL6ST","Interleukin 6 Cytokine Family Signal Transducer","Protein Coding","46","GC05M055935","26.8776016235352","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6ST"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","50","GC19M041301","26.5112113952637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"ASIC5","Acid Sensing Ion Channel Subunit Family Member 5","Protein Coding","33","GC04M155829","26.1149883270264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASIC5"
"ALB","Albumin","Protein Coding","48","GC04P073397","26.0103530883789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"SYCP3","Synaptonemal Complex Protein 3","Protein Coding","41","GC12M101728","25.8088302612305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYCP3"
"C11orf80","Chromosome 11 Open Reading Frame 80","Protein Coding","34","GC11P066744","24.85080909729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C11orf80"
"KHDC3L","KH Domain Containing 3 Like, Subcortical Maternal Complex Member","Protein Coding","32","GC06P073362","24.2954273223877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KHDC3L"
"ENG","Endoglin","Protein Coding","45","GC09M127815","23.5335464477539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","50","GC07P117287","23.1681537628174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"ASPH","Aspartate Beta-Hydroxylase","Protein Coding","41","GC08M061500","22.8993320465088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPH"
"IFNG","Interferon Gamma","Protein Coding","46","GC12M068154","22.8087787628174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","47","GC06P043770","22.6178340911865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"IL1B","Interleukin 1 Beta","Protein Coding","47","GC02M112829","22.5805320739746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"F13B","Coagulation Factor XIII B Chain","Protein Coding","40","GC01M197008","22.1268692016602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13B"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","52","GC07P055019","21.7188472747803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","48","GC12M006328","21.5049495697021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","52","GC02M190908","21.4072799682617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","49","GC17M050183","21.1744861602783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"MEFV","MEFV Innate Immuity Regulator, Pyrin","Protein Coding","43","GC16M004308","20.9248733520508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV"
"HLA-DQB1","Major Histocompatibility Complex, Class II, DQ Beta 1","Protein Coding","42","GC06M051466","20.8312873840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1"
"CFI","Complement Factor I","Protein Coding","45","GC04M109732","20.7571353912354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFI"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","49","GC17P047261","20.689094543457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","50","GC12M025204","20.331075668335","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"MBL2","Mannose Binding Lectin 2","Protein Coding","46","GC10M052760","20.1134853363037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"JAK2","Janus Kinase 2","Protein Coding","52","GC09P004985","20.110523223877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"CRP","C-Reactive Protein","Protein Coding","45","GC01M159721","20.0403251647949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","19.9310722351074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"HLA-G","Major Histocompatibility Complex, Class I, G","Protein Coding","44","GC06P061122","19.9307231903076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-G"
"IL6R","Interleukin 6 Receptor","Protein Coding","48","GC01P154405","19.8572387695313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","40","GC04P073740","19.7460250854492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"CHPT1","Choline Phosphotransferase 1","Protein Coding","39","GC12P101696","19.7189960479736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHPT1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","48","GC13P032315","19.6256790161133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","44","GC0XM154021","19.4954414367676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECP2"
"FCGR3A","Fc Fragment Of IgG Receptor IIIa","Protein Coding","43","GC01M161541","19.3257102966309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A"
"NLRP3","NLR Family Pyrin Domain Containing 3","Protein Coding","46","GC01P247415","19.2640972137451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP3"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","51","GC10P087863","19.042423248291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","18.505500793457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"ESR1","Estrogen Receptor 1","Protein Coding","51","GC06P151656","18.3625946044922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","44","GC02P203867","18.0332450866699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"ADA","Adenosine Deaminase","Protein Coding","50","GC20M044620","17.9175567626953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","52","GC20P046008","17.796257019043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"APOH","Apolipoprotein H","Protein Coding","42","GC17M066212","17.7572593688965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH"
"F8","Coagulation Factor VIII","Protein Coding","45","GC0XM154835","17.5730819702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F8"
"IL2","Interleukin 2","Protein Coding","44","GC04M122451","17.564432144165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"TET2","Tet Methylcytosine Dioxygenase 2","Protein Coding","44","GC04P105145","17.5410690307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET2"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","52","GC11P108222","17.4982719421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MEI1","Meiotic Double-Stranded Break Formation Protein 1","Protein Coding","36","GC22P041699","17.3789710998535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEI1"
"CD40LG","CD40 Ligand","Protein Coding","46","GC0XP136649","16.9707622528076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","49","GC17M043044","16.9292469024658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"PGR","Progesterone Receptor","Protein Coding","49","GC11M101030","16.9098777770996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR"
"IL18","Interleukin 18","Protein Coding","42","GC11M112143","16.9063568115234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"CD4","CD4 Molecule","Protein Coding","48","GC12P006786","16.9038352966309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"IRAK4","Interleukin 1 Receptor Associated Kinase 4","Protein Coding","48","GC12P043758","16.8293552398682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK4"
"HTR1A","5-Hydroxytryptamine Receptor 1A","Protein Coding","46","GC05M063960","16.8108215332031","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","49","GC17P063477","16.7295894622803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","50","GC05M001253","16.639928817749","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"FGB","Fibrinogen Beta Chain","Protein Coding","45","GC04P154578","16.5548439025879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGB"
"FGA","Fibrinogen Alpha Chain","Protein Coding","46","GC04M154583","16.5154190063477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA"
"FBN1","Fibrillin 1","Protein Coding","45","GC15M048408","16.4737033843994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"F3","Coagulation Factor III, Tissue Factor","Protein Coding","44","GC01M094530","16.3183364868164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F3"
"IKBKG","Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma","Protein Coding","47","GC0XP154541","16.2705669403076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKG"
"WAS","WASP Actin Nucleation Promoting Factor","Protein Coding","48","GC0XP048676","16.2322635650635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WAS"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","47","GC02P118067","16.2028713226318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"NLRP1","NLR Family Pyrin Domain Containing 1","Protein Coding","44","GC17M005499","16.156717300415","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP1"
"JAK3","Janus Kinase 3","Protein Coding","51","GC19M017824","15.82106590271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3"
"IL4","Interleukin 4","Protein Coding","44","GC05P132673","15.6617059707642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","51","GC04P054657","15.588662147522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CTNNB1","Catenin Beta 1","Protein Coding","52","GC03P041236","15.4975872039795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","46","GC06M051345","15.4908809661865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","15.4434118270874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","52","GC03P179148","15.3881711959839","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","52","GC12P112418","15.3591260910034","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"MGP","Matrix Gla Protein","Protein Coding","41","GC12M017010","15.1046562194824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MGP"
"IL17A","Interleukin 17A","Protein Coding","41","GC06P052186","15.0854291915894","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"RYR1","Ryanodine Receptor 1","Protein Coding","46","GC19P042548","15.0795297622681","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"F9","Coagulation Factor IX","Protein Coding","46","GC0XP139530","14.9520359039307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F9"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","50","GC11M102810","14.8659563064575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"MT-CO3","Mitochondrially Encoded Cytochrome C Oxidase III","Protein Coding","31","GCMTP009209","14.8431835174561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO3"
"COL3A1","Collagen Type III Alpha 1 Chain","Protein Coding","45","GC02P188974","14.826340675354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","46","GC13M020187","14.8165426254272","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"ACVRL1","Activin A Receptor Like Type 1","Protein Coding","48","GC12P051906","14.7766809463501","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1"
"CD79A","CD79a Molecule","Protein Coding","45","GC19P041877","14.7527437210083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A"
"CASP8","Caspase 8","Protein Coding","51","GC02P201233","14.7451229095459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"CACNA1A","Calcium Voltage-Gated Channel Subunit Alpha1 A","Protein Coding","46","GC19M013206","14.7179288864136","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A"
"FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","53","GC04P001795","14.6936159133911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR3"
"LEP","Leptin","Protein Coding","46","GC07P128241","14.6409225463867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","49","GC10M006010","14.5817794799805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","52","GC09P099104","14.5247097015381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"VWF","Von Willebrand Factor","Protein Coding","48","GC12M005917","14.428804397583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"FLNA","Filamin A","Protein Coding","48","GC0XM154348","14.0919227600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNA"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","48","GC03P038139","14.0799160003662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"APOE","Apolipoprotein E","Protein Coding","49","GC19P044906","13.7819166183472","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","51","GC04P102501","13.7560863494873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"CREBBP","CREB Binding Protein","Protein Coding","51","GC16M004352","13.7224712371826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"YY1","YY1 Transcription Factor","Protein Coding","46","GC14P100238","13.7070331573486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1"
"GP1BA","Glycoprotein Ib Platelet Subunit Alpha","Protein Coding","45","GC17P004932","13.5448131561279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP1BA"
"ITGA2B","Integrin Subunit Alpha 2b","Protein Coding","50","GC17M044509","13.5434083938599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","50","GC07P150990","13.5408191680908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","46","GC07P094394","13.4888868331909","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"CCDC68","Coiled-Coil Domain Containing 68","Protein Coding","34","GC18M054901","13.4831027984619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC68"
"CD8A","CD8a Molecule","Protein Coding","45","GC02M086784","13.4760246276855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"RAG1","Recombination Activating 1","Protein Coding","45","GC11P036524","13.4498596191406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG1"
"ALPL","Alkaline Phosphatase, Biomineralization Associated","Protein Coding","49","GC01P021508","13.3917188644409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPL"
"CYBB","Cytochrome B-245 Beta Chain","Protein Coding","46","GC0XP037780","13.3586406707764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","48","GC0XP123859","13.3507213592529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"IL17RA","Interleukin 17 Receptor A","Protein Coding","43","GC22P017154","13.264009475708","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA"
"CDH1","Cadherin 1","Protein Coding","49","GC16P068737","13.1476440429688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"COL2A1","Collagen Type II Alpha 1 Chain","Protein Coding","48","GC12M047972","13.1455564498901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL2A1"
"TSHR","Thyroid Stimulating Hormone Receptor","Protein Coding","46","GC14P080954","13.1453037261963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSHR"
"HLA-DQA1","Major Histocompatibility Complex, Class II, DQ Alpha 1","Protein Coding","42","GC06P061200","13.0920629501343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","52","GC16P055390","13.0679140090942","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"LOC102723566","Uncharacterized LOC102723566","RNA Gene","10","GC09P127816","13.0634880065918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC102723566"
"NOD2","Nucleotide Binding Oligomerization Domain Containing 2","Protein Coding","47","GC16P050693","13.021577835083","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2"
"INS","Insulin","Protein Coding","46","GC11M002159","12.9697818756104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"AR","Androgen Receptor","Protein Coding","52","GC0XP067544","12.8947048187256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"IL7R","Interleukin 7 Receptor","Protein Coding","45","GC05P035852","12.8879060745239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7R"
"THPO","Thrombopoietin","Protein Coding","41","GC03M184371","12.8616151809692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","34","GC11P000518","12.8076305389404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","49","GC21M044885","12.7330904006958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","47","GC22M037125","12.6769180297852","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"ACTA1","Actin Alpha 1, Skeletal Muscle","Protein Coding","46","GC01M229431","12.6723251342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA1"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","48","GC15M051208","12.6596412658691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","50","GC11M001525","12.631685256958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","49","GC13M028300","12.629828453064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1"
"RAG2","Recombination Activating 2","Protein Coding","42","GC11M036575","12.6112289428711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"IL2RG","Interleukin 2 Receptor Subunit Gamma","Protein Coding","46","GC0XM071108","12.5918560028076","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RG"
"F12","Coagulation Factor XII","Protein Coding","48","GC05M177402","12.5591163635254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F12"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","51","GC02M136114","12.5487203598022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"ABCC6","ATP Binding Cassette Subfamily C Member 6","Protein Coding","45","GC16M016148","12.5158367156982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC6"
"CSF3","Colony Stimulating Factor 3","Protein Coding","38","GC17P040015","12.4619045257568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","50","GC02M025228","12.3908910751343","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"PLG","Plasminogen","Protein Coding","48","GC06P160702","12.3893013000488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG"
"TNFRSF13C","TNF Receptor Superfamily Member 13C","Protein Coding","42","GC22M050965","12.3496332168579","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","52","GC14M104769","12.3336343765259","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"PROC","Protein C, Inactivator Of Coagulation Factors Va And VIIIa","Protein Coding","48","GC02P127418","12.2564525604248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROC"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","48","GC12M102395","12.2359600067139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","46","GC16P034583","12.1639223098755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","52","GC17P039687","12.1617078781128","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"ELN","Elastin","Protein Coding","44","GC07P074027","12.1275491714478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","48","GC01P156815","12.0897426605225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"CGB5","Chorionic Gonadotropin Subunit Beta 5","Protein Coding","31","GC19P049043","12.0320892333984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGB5"
"KMT2A","Lysine Methyltransferase 2A","Protein Coding","44","GC11P118436","12.0250282287598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2A"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","49","GC10P088969","11.9236402511597","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"ESR2","Estrogen Receptor 2","Protein Coding","48","GC14M064084","11.811261177063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","46","GC06P131808","11.7620182037354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"HOTAIR","HOX Transcript Antisense RNA","RNA Gene","25","GC12M053962","11.7194080352783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOTAIR"
"MPL","MPL Proto-Oncogene, Thrombopoietin Receptor","Protein Coding","46","GC01P043337","11.7112636566162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPL"
"NBN","Nibrin","Protein Coding","46","GC08M089933","11.6619129180908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"CGA","Glycoprotein Hormones, Alpha Polypeptide","Protein Coding","42","GC06M087085","11.6559648513794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA"
"TNFSF11","TNF Superfamily Member 11","Protein Coding","46","GC13P042562","11.6377477645874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11"
"FSHR","Follicle Stimulating Hormone Receptor","Protein Coding","49","GC02M048953","11.6335191726685","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHR"
"FGG","Fibrinogen Gamma Chain","Protein Coding","47","GC04M154604","11.6052474975586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGG"
"EGF","Epidermal Growth Factor","Protein Coding","49","GC04P109912","11.5968961715698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"FASLG","Fas Ligand","Protein Coding","46","GC01P172628","11.5956058502197","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
